date,AAPL,BAC,BRK.B,HON,JNJ,JPM,MRK,MSFT,NVDA,RTX,UNH,UPS
2020-10-23,113.164,23.5724,212.71,167.4356,136.1181,97.4308,70.191,211.3232,135.5993,58.9062,319.5499,160.5726
2020-10-30,107.0848,22.4364,201.9,157.3345,128.4987,92.0154,66.1288,197.8755,125.0603,51.1393,294.9409,146.7572
2020-11-06,116.9561,23.0139,208.85,175.7626,133.3159,96.633,70.657,218.6433,145.2951,55.131,335.8464,156.6307
2020-11-13,117.5178,25.5605,227.42,193.1416,140.4854,107.0697,71.2988,211.5969,132.6733,62.7389,343.782,153.8316
2020-11-20,115.6258,25.3806,227.01,193.5825,137.1677,107.5296,70.7361,206.1613,130.5855,66.1627,323.5129,153.9162
2020-11-27,114.8868,27.4444,231.55,200.6837,135.9034,113.7709,70.2173,210.904,132.3166,70.0987,326.6446,158.7378
2020-12-04,120.4641,27.901,231.35,203.8174,141.8208,114.8221,72.0462,210.0515,135.3204,70.0987,339.4034,157.1964
2020-12-11,120.6218,27.2152,226.39,205.6862,144.3502,112.2129,72.943,208.9736,129.8809,69.1313,326.9676,158.2773
2020-12-18,124.8048,27.3104,223.43,201.2874,145.8224,111.7624,70.4931,214.1965,132.4634,66.5516,328.2384,164.6497
2020-12-24,130.0421,28.5393,226.53,200.7987,143.8971,116.8681,71.0338,218.2728,129.6863,66.6464,330.5761,161.8395
2020-12-31,130.7516,28.8727,231.87,203.8366,148.5311,119.2614,72.5051,217.9495,130.2976,67.8225,340.1697,158.2773
2021-01-08,130.121,30.9874,234.03,201.2778,151.0415,128.5759,73.5954,215.2058,132.5108,66.2576,352.4988,148.869
2021-01-15,125.2827,31.4446,233.49,197.387,151.2869,131.0525,73.9056,208.3758,128.3464,65.6316,340.7711,149.3484
2021-01-22,137.0384,30.0539,232.92,193.822,154.3542,126.4679,71.7783,221.4085,136.8599,64.0951,337.1335,149.4329
2021-01-29,130.0323,28.244,227.87,187.2287,153.9578,121.6281,68.3126,227.2977,129.6464,63.289,323.5822,145.6828
2021-02-05,134.9642,30.835,235.16,194.4641,155.2035,130.4286,67.1869,237.3319,135.6473,68.6002,314.7841,154.4989
2021-02-12,133.5924,31.7876,242.46,195.087,157.2138,133.5196,66.4778,240.0658,149.3233,68.8658,318.4023,153.5685
2021-02-19,128.1646,32.9021,241.85,195.0775,153.8162,139.9191,65.8662,236.6681,148.9764,70.4307,314.852,151.8485
2021-02-26,119.6677,33.064,240.51,194.7985,150.4835,139.1156,64.3683,228.2315,136.8799,68.7201,322.263,149.2852
2021-03-05,119.8256,35.3522,253.15,198.8706,148.2423,142.651,64.8203,227.4654,124.3741,71.7652,336.697,155.4995
2021-03-12,119.4407,36.3191,260.02,206.3796,151.5661,147.6042,66.6994,231.5413,128.3525,74.9535,346.5622,158.6114
2021-03-19,118.4144,36.8839,250.99,204.9644,151.9839,146.6495,69.3012,226.2377,128.2501,74.8007,355.8683,150.6661
2021-03-26,119.6183,37.0275,256.77,210.3747,156.6278,146.6022,69.1939,232.2583,128.1852,74.6194,366.4787,158.8857
2021-04-01,121.3848,37.8028,258.2,208.7092,154.6335,145.2977,68.9257,238.0235,137.8945,73.7698,357.3187,162.007
2021-04-09,131.2486,38.2815,266.01,218.5093,153.133,148.5925,68.2283,251.2825,143.7675,74.7339,366.3035,166.4147
2021-04-16,132.3983,37.4774,272.11,223.4479,154.0732,145.7591,69.2655,256.0852,158.8681,74.6671,380.6227,169.9806
2021-04-23,132.5562,37.5061,271.98,216.1219,157.1881,142.8021,69.632,256.4879,152.4061,76.8817,389.6756,169.2712
2021-04-30,129.7337,38.7984,274.95,214.7164,154.5385,146.244,66.61,247.678,149.8527,79.4591,388.2058,192.8231
2021-05-07,128.7173,40.3779,290.93,220.2518,160.0181,153.3086,70.1059,247.953,147.8834,81.8169,406.555,205.7247
2021-05-14,125.9889,40.5502,290.68,219.7852,161.6515,155.9423,69.9986,243.7199,142.2001,81.9792,398.9135,204.6653
2021-05-21,123.9921,40.5885,287.74,215.7638,162.3543,154.6587,70.7944,241.3478,149.6755,82.4025,400.6949,201.3643
2021-05-28,123.1815,40.579,289.44,223.2169,161.7293,156.161,67.8528,245.7875,162.1828,85.1873,400.9772,203.9589
2021-06-04,124.4468,41.5937,292.52,222.3856,158.595,158.2528,69.4419,246.8802,175.4987,85.485,394.864,200.1858
2021-06-11,125.8901,40.2384,286.82,217.6778,157.6299,152.4053,71.4658,253.8695,178.0057,85.2834,387.3199,193.1242
2021-06-18,128.9644,37.2777,274.04,205.4203,154.7823,140.6438,72.4028,255.3855,186.1295,82.5081,380.4377,187.9634
2021-06-25,131.584,40.0077,278.38,211.4524,156.9133,146.4722,72.9604,260.8883,190.0466,83.2764,395.6603,195.4147
2021-07-02,138.3555,39.5559,279.12,213.9464,161.4713,149.2106,74.2835,273.3214,204.5864,83.2572,399.9692,201.0411
2021-07-09,143.4465,38.4889,280.49,216.8658,162.2071,148.9619,73.707,273.6069,200.2249,82.9499,402.6561,203.3126
2021-07-16,144.7118,36.451,277.9,222.6562,160.6304,145.2706,73.7354,276.3731,181.3586,80.213,410.072,200.1287
2021-07-23,146.8569,36.2395,278.49,221.6799,164.1564,144.0561,73.2817,285.154,195.3093,82.4025,408.1178,201.1457
2021-07-30,144.1879,36.874,278.29,226.001,164.5482,145.1463,72.6485,280.4682,194.7201,83.4972,402.7636,181.8713
2021-08-06,144.6821,38.5946,285.63,222.0279,165.4178,150.6163,71.2971,284.9473,203.3781,84.1022,405.597,183.0498
2021-08-13,147.6126,40.0173,287.89,224.9369,168.4183,152.9879,72.5068,288.2844,201.6005,83.7853,400.2721,184.3614
2021-08-20,146.7117,38.8061,285.27,220.9964,171.4665,147.9578,74.3591,300.1921,207.8718,81.2062,419.8523,184.6275
2021-08-27,147.1176,40.844,286.6,224.3352,166.232,155.9238,72.1098,295.6157,226.0467,82.5106,409.1535,184.6848
2021-09-03,152.7607,39.6618,281.89,221.637,168.2603,152.5194,73.0171,297.0162,228.1545,80.8198,413.1595,188.5447
2021-09-10,147.4839,38.9081,277.6,215.8233,160.5028,150.4824,69.4163,291.6606,224.509,80.1918,396.0609,184.6466
2021-09-17,144.6029,39.1304,276.76,212.0576,158.3688,150.7885,68.3542,295.7636,218.7359,80.5686,411.9951,181.5605
2021-09-24,145.4544,40.7149,277.87,212.737,157.9939,155.9142,70.1946,295.2507,220.5437,84.211,399.1693,179.6401
2021-10-01,141.2269,41.6231,275.71,209.3012,154.2546,159.8254,77.6232,285.1411,207.1699,84.5202,384.804,173.4012
2021-10-08,141.4745,42.8405,284.14,211.2908,154.6968,163.7455,76.8889,290.8123,208.0588,87.554,400.5225,175.312
2021-10-15,143.3951,44.8018,284.21,214.2219,155.0524,160.2728,74.6956,300.0442,218.3564,87.8438,419.7514,185.1147
2021-10-22,147.2067,45.9613,289.24,210.9997,157.3787,165.2462,77.3848,304.9264,226.986,88.752,440.4316,194.7264
2021-10-29,148.3056,46.1642,287.01,212.1837,156.5712,163.4281,83.9646,327.0788,255.3617,85.8535,451.5218,203.9558
2021-11-05,149.9887,45.3816,287.88,219.4047,157.0999,161.6581,77.8234,331.458,297.1612,88.095,446.9524,198.9398
2021-11-12,148.7097,45.3236,285.99,216.7812,158.6187,160.5133,80.1026,332.109,303.5335,85.8535,450.0706,203.6883
2021-11-19,159.1795,43.8646,279.99,212.9795,156.5809,154.7993,76.9557,339.0302,329.4523,83.0239,431.4496,200.1532
2021-11-26,155.4715,44.2125,283.09,202.9588,154.0495,155.7708,75.4871,325.7599,314.6501,80.6623,431.3613,197.1097
2021-12-03,160.4585,42.5847,277.43,198.3676,154.2237,152.2693,69.9372,319.1692,306.5989,78.8256,442.0103,192.722
2021-12-10,177.9182,43.2156,288.23,204.5184,160.136,153.7411,69.2506,338.467,301.6542,83.7333,470.45,200.7677
2021-12-17,169.6791,42.5944,293.66,199.9955,162.7874,150.7975,72.8537,319.9498,277.7101,79.9626,479.1954,198.3482
2021-12-23,174.7753,43.1186,294.49,200.0442,162.8067,151.2785,72.8922,330.7103,296.0803,82.5088,487.321,203.7248
2021-12-31,176.0542,43.1865,299.0,203.2512,165.5355,152.327,73.7681,332.3209,293.7927,83.6362,493.971,205.789
2022-01-07,170.7003,47.7391,319.78,210.3086,168.3223,161.7837,77.2909,310.3058,272.1761,87.8928,451.1393,209.4566
2022-01-14,171.5927,46.5063,324.13,212.1607,162.41,152.8119,78.3305,306.5115,269.1294,89.7296,461.0652,198.3002
2022-01-21,161.0237,43.6039,305.22,199.9272,159.5361,140.4139,76.9829,292.51,233.4879,84.7538,453.6675,193.8933
