date,AAPL,BAC,BRK.B,HON,JNJ,JPM,MRK,MSFT,NVDA,RTX,UNH,UPS
2022-11-02,144.386620595248,35.6399452746381,289.46,198.437100409857,168.157831528241,126.038793546021,98.0843791750892,218.929812276416,132.136066340211,93.0915264132351,539.827807094858,161.711066684105
2022-11-03,138.263903111549,35.4424393434957,283.85,202.317348993718,168.443965255538,126.267106710671,97.4429823293768,213.110914494421,134.155242178075,93.7342188420042,540.006613942616,161.151002836676
2022-11-04,137.995100880558,36.3312160336363,287.47,205.742262284575,169.193832954661,129.721584158416,97.8870262994854,220.212953838599,141.502243370302,94.1494970267472,534.602673654821,162.801717334363
2022-11-07,138.533598889486,36.5484725578929,290.19,207.642792203201,170.673834992403,130.406523652365,98.7455113083619,226.658502150962,142.951651768769,95.0888167303327,541.407267583386,166.181751782007
2022-11-08,139.111985639817,36.6472255234641,292.61,209.216668542063,171.522369494041,130.485936927026,100.156584368929,227.6531855325,145.960423685586,95.1876924886049,549.384039736141,165.847678609856
2022-11-09,134.494863822524,36.0645830265942,288.65,207.533907676613,170.150900939067,128.788478181151,100.245393162951,223.316365988996,137.703793774321,94.0605088443023,537.076168382139,161.151002836676
2022-11-10,146.461486243153,37.6545057722901,303.2,213.671491966335,172.143970349893,134.08931426476,100.541422476357,241.688168045995,157.435739833446,96.7400418934777,540.562901913418,170.809647784451
2022-11-11,149.283614697352,37.9310140758894,309.72,211.612367253252,166.993563258551,134.307700770077,96.6634384707418,245.796210411745,163.203385667344,92.5971476218744,518.619328208018,176.628198344425
2022-11-14,147.867564377577,37.2891197996768,308.91,211.880948737567,169.61810020548,132.927895122846,99.0218053342072,240.265770810396,162.883516227683,91.9050173139693,510.344544642333,176.231704268788
2022-11-15,149.622668999269,37.2298680203341,309.98,214.298182096404,170.091700857558,131.965009167583,98.281732050693,240.683537830642,166.59200254376,94.7130888488985,499.675736059445,179.879449764649
2022-11-16,148.376145830454,36.8941079373921,308.76,212.875694975771,171.14743564448,132.14368903557,98.6073642954393,241.121198518518,159.035087031754,93.2892779297794,508.129326472888,175.50810258075
2022-11-17,150.300777603105,36.7064773028068,307.44,213.383015557256,172.528770879706,131.567942794279,100.955863515125,241.071324444444,156.706037674218,94.0110709651662,511.894203989568,174.516867391657
2022-11-18,150.869192168085,36.726227895921,310.76,213.40291048202,173.850906033422,132.858408507517,102.850451120921,240.612482962963,154.027131117052,94.8365146222178,526.486829509366,177.401361791917
2022-11-21,147.598315373113,36.8447314546065,311.2,215.422245345575,174.738907256067,132.074202420242,104.212185962587,241.440392592593,153.107506478025,95.6719033835712,513.761742177262,179.026987502029
2022-11-22,149.762279594177,37.0224867926346,315.76,217.610687069625,175.582960624071,134.049607627429,105.485112010232,244.412887407407,160.314564790401,96.3183351631899,519.622633298215,181.138318454796
2022-11-23,150.649804090373,37.14099035132,316.18,217.759899005356,175.771631376919,135.479046571324,105.40617085999,246.956465185185,165.122602305314,96.5967980836411,526.1987518102,181.237441973706
2022-11-25,147.698037226618,37.2298680203341,317.43,218.893909716909,176.000022288262,135.737139713971,106.077170637043,246.866691851852,162.633618227947,96.9349316299032,534.056319397783,180.920246713196
2022-11-28,143.818857125264,36.4003431095362,313.27,214.636395817394,176.089392644874,133.36466813348,107.014596796161,241.151122962963,158.205425672632,96.3680606846991,528.741782533868,178.333122869664
2022-11-29,140.777340593354,36.5385972613358,315.13,215.581404743688,174.85806773155,135.558459845985,107.399434903589,239.724724444444,156.32619271462,96.8951512126959,524.5000867565,183.269474111346
2022-11-30,147.618259743814,37.3779974686908,318.6,218.396536597807,176.754705299653,137.166578657866,108.662493307453,254.497425185185,169.200937660999,98.1780696676315,544.129105154812,188.067052426554
2022-12-01,147.897480933629,36.3114654405221,315.84,216.247884723285,177.489528231798,135.240806747341,108.346728706487,254.048558518518,171.320573587498,98.953787803174,533.351025720516,188.523020613537
2022-12-02,147.398871666102,35.8445327795906,316.15,217.929005865851,177.628548786528,134.168727539421,108.583552157211,254.377727407407,168.731018375408,100.45549855275,534.245059959306,187.730032462263
2022-12-05,146.22215379474,34.2450400474637,310.57,214.467288956899,177.529248390292,130.406523652365,108.553949225871,249.569866666667,166.071475184613,100.12731011079,533.129060132473,179.57216685603
2022-12-06,142.512500844345,32.7846336398695,307.78,212.069950522826,174.867997771174,130.624910157682,107.48824369761,244.502660740741,159.842545079856,98.1880147719333,537.39377375644,173.565281610128
2022-12-07,140.547980330292,32.5263304657372,305.82,212.328584544759,175.930512010896,130.535570223689,108.632890376112,243.75454962963,161.172316675253,98.49631300529,540.970951772804,173.139050478818
2022-12-08,142.253224025232,32.2282883417384,305.99,212.229109920939,175.960302129767,131.905449211588,109.382831303407,246.776918518518,171.660515198351,98.9438426988721,545.963058141045,178.055577016718
2022-12-09,141.764586943056,32.1686799169386,306.39,210.518146391227,174.510516344725,131.190729739641,107.340229040907,244.801905185185,169.980803709428,97.7305399740493,537.274202346422,176.083018990424
2022-12-12,144.088106129728,32.5163957282705,311.45,213.373068094874,176.595824665676,133.225694902824,107.527714272731,251.874048888889,175.319886656363,99.0134584289849,543.910415602407,180.930159065087
2022-12-13,145.06538029408,32.5362652032038,312.33,213.830651364448,177.956240094106,133.0966483315,109.442037166088,256.272942222222,180.688964451314,99.3416468709452,536.297702497944,182.238589514689
2022-12-14,142.811666404861,32.0693325422723,309.29,213.591912267279,178.502392273403,132.431562156216,110.793904363974,256.572186666667,176.709647947793,99.4013174967562,536.437202476298,182.694557701672
